,initial state,transition rate,measurement rate,simulation time,total measurements,total jumps,finded
0,0.0,0.1,0.5,166.23249792582595,80.0,13.0,1.0
1,0.0,0.1,0.5,73.73350774616897,45.0,5.0,1.0
2,0.0,0.1,0.5,142.5736116198389,70.0,12.0,1.0
3,0.0,0.1,0.5,237.01877085514877,117.0,19.0,1.0
4,0.0,0.1,0.5,120.18884864445553,63.0,14.0,1.0
5,0.0,0.1,0.5,194.24595072182694,94.0,10.0,1.0
6,0.0,0.1,0.5,443.1150332256062,246.0,33.0,1.0
7,0.0,0.1,0.5,54.11373758363276,25.0,5.0,1.0
8,0.0,0.1,0.5,263.30587074309545,138.0,22.0,1.0
9,0.0,0.1,0.5,215.54971925696262,101.0,17.0,1.0
10,0.0,0.1,0.5,86.55575141940902,39.0,10.0,1.0
11,0.0,0.1,0.5,240.09296866283174,128.0,18.0,1.0
12,0.0,0.1,0.5,99.3550787396621,60.0,10.0,1.0
13,0.0,0.1,0.5,385.1968377813916,193.0,27.0,1.0
14,0.0,0.1,0.5,93.59473508344298,43.0,9.0,1.0
15,0.0,0.1,0.5,364.9190468473242,186.0,31.0,1.0
16,0.0,0.1,0.5,100.16540676277106,64.0,5.0,1.0
17,0.0,0.1,0.5,248.65794659992974,118.0,19.0,1.0
18,0.0,0.1,0.5,36.558136283439154,19.0,4.0,1.0
19,0.0,0.1,0.5,152.8952207775321,76.0,12.0,1.0
20,0.0,0.1,0.5,14.355410602300866,9.0,2.0,1.0
21,0.0,0.1,0.5,37.33717866044583,13.0,5.0,1.0
22,0.0,0.1,0.5,368.30490125969067,209.0,26.0,1.0
23,0.0,0.1,0.5,176.63533238971687,79.0,10.0,1.0
24,0.0,0.1,0.5,318.8871609767118,171.0,25.0,1.0
25,0.0,0.1,0.5,159.02667433559844,81.0,15.0,1.0
26,0.0,0.1,0.5,180.18800720244676,90.0,14.0,1.0
27,0.0,0.1,0.5,638.4607650107728,326.0,50.0,1.0
28,0.0,0.1,0.5,91.15057310790075,34.0,7.0,1.0
29,0.0,0.1,0.5,298.77968103830744,171.0,15.0,1.0
30,0.0,0.1,0.5,254.84319351946263,144.0,25.0,1.0
31,0.0,0.1,0.5,108.81618096104091,54.0,9.0,1.0
32,0.0,0.1,0.5,78.59784314584672,33.0,7.0,1.0
33,0.0,0.1,0.5,89.2294908831577,53.0,6.0,1.0
34,0.0,0.1,0.5,175.2165926394801,89.0,16.0,1.0
35,0.0,0.1,0.5,473.28618832836486,226.0,43.0,1.0
36,0.0,0.1,0.5,28.0418294701706,6.0,1.0,1.0
37,0.0,0.1,0.5,89.61728701760056,50.0,7.0,1.0
38,0.0,0.1,0.5,107.5630878568581,59.0,7.0,1.0
39,0.0,0.1,0.5,59.32224995915893,29.0,5.0,1.0
40,0.0,0.1,0.5,142.50469678835685,58.0,10.0,1.0
41,0.0,0.1,0.5,118.26900647334578,55.0,9.0,1.0
42,0.0,0.1,0.5,64.70640373403802,29.0,7.0,1.0
43,0.0,0.1,0.5,740.8329964962469,426.0,51.0,1.0
44,0.0,0.1,0.5,98.55164230915177,53.0,5.0,1.0
45,0.0,0.1,0.5,75.2879888317019,46.0,5.0,1.0
46,0.0,0.1,0.5,96.46313678863167,52.0,5.0,1.0
47,0.0,0.1,0.5,147.7851171216214,61.0,14.0,1.0
48,0.0,0.1,0.5,192.56994296118356,88.0,13.0,1.0
49,0.0,0.1,0.5,47.48756500402567,18.0,6.0,1.0
50,0.0,0.1,0.5,105.95813649553558,55.0,8.0,1.0
51,0.0,0.1,0.5,316.8062539098817,137.0,22.0,1.0
52,0.0,0.1,0.5,128.71803857118414,57.0,18.0,1.0
53,0.0,0.1,0.5,274.6515910711688,131.0,18.0,1.0
54,0.0,0.1,0.5,175.1051104754423,87.0,12.0,1.0
55,0.0,0.1,0.5,343.1077590709426,184.0,20.0,1.0
56,0.0,0.1,0.5,307.173970162303,156.0,26.0,1.0
57,0.0,0.1,0.5,165.9999470377178,73.0,11.0,1.0
58,0.0,0.1,0.5,470.696674236158,242.0,42.0,1.0
59,0.0,0.1,0.5,180.72426520474568,91.0,18.0,1.0
60,0.0,0.1,0.5,242.60868728192176,109.0,19.0,1.0
61,0.0,0.1,0.5,265.9323064908616,132.0,15.0,1.0
62,0.0,0.1,0.5,43.79444593058046,15.0,3.0,1.0
63,0.0,0.1,0.5,373.1870870086019,179.0,39.0,1.0
64,0.0,0.1,0.5,160.76296047196917,91.0,10.0,1.0
65,0.0,0.1,0.5,121.11504123977198,66.0,12.0,1.0
66,0.0,0.1,0.5,341.6119890526379,174.0,21.0,1.0
67,0.0,0.1,0.5,63.99816015820373,25.0,9.0,1.0
68,0.0,0.1,0.5,141.22763467699846,78.0,12.0,1.0
69,0.0,0.1,0.5,198.88878426962648,101.0,16.0,1.0
70,0.0,0.1,0.5,657.7340999449124,314.0,45.0,1.0
71,0.0,0.1,0.5,389.79637502062957,203.0,18.0,1.0
72,0.0,0.1,0.5,231.3834473317999,116.0,16.0,1.0
73,0.0,0.1,0.5,420.3146372270569,215.0,25.0,1.0
74,0.0,0.1,0.5,220.2041272182349,137.0,12.0,1.0
75,0.0,0.1,0.5,172.08351592836138,99.0,9.0,1.0
76,0.0,0.1,0.5,79.94246079188986,34.0,8.0,1.0
77,0.0,0.1,0.5,155.58564709315448,61.0,16.0,1.0
78,0.0,0.1,0.5,107.13213496626348,59.0,8.0,1.0
79,0.0,0.1,0.5,56.408024331176456,37.0,9.0,1.0
80,0.0,0.1,0.5,130.74689584566073,70.0,7.0,1.0
81,0.0,0.1,0.5,211.32405759935475,107.0,19.0,1.0
82,0.0,0.1,0.5,43.821340303675875,24.0,5.0,1.0
83,0.0,0.1,0.5,126.32330246084541,57.0,12.0,1.0
84,0.0,0.1,0.5,54.25609850955411,34.0,5.0,1.0
85,0.0,0.1,0.5,37.95594911854676,26.0,4.0,1.0
86,0.0,0.1,0.5,23.546308498940657,8.0,4.0,1.0
87,0.0,0.1,0.5,247.15146207763752,113.0,23.0,1.0
88,0.0,0.1,0.5,294.58723725991456,130.0,24.0,1.0
89,0.0,0.1,0.5,125.89071091237074,63.0,8.0,1.0
90,0.0,0.1,0.5,139.74058857965787,59.0,13.0,1.0
91,0.0,0.1,0.5,214.66637637199068,107.0,16.0,1.0
92,0.0,0.1,0.5,227.89168890545213,115.0,12.0,1.0
93,0.0,0.1,0.5,56.58622082005025,31.0,4.0,1.0
94,0.0,0.1,0.5,106.91585941021063,43.0,9.0,1.0
95,0.0,0.1,0.5,412.02479782870296,189.0,32.0,1.0
96,0.0,0.1,0.5,184.34425893800324,88.0,10.0,1.0
97,0.0,0.1,0.5,203.26716351451006,92.0,12.0,1.0
98,0.0,0.1,0.5,352.39768129381883,149.0,29.0,1.0
99,0.0,0.1,0.5,195.23061356755812,89.0,11.0,1.0
100,0.0,0.1,0.5,211.64063189862043,114.0,13.0,1.0
101,0.0,0.1,0.5,295.7246999119863,132.0,19.0,1.0
102,0.0,0.1,0.5,16.422682470962506,3.0,2.0,1.0
