,measurement rate,finded,initial state,simulation time,total jumps,total measurements,transition rate
228,0.5,1.0,0.0,116.5671838267969,10.0,55.0,0.1
229,0.5,1.0,0.0,220.04898778484124,20.0,110.0,0.1
230,0.5,1.0,0.0,92.25172742860605,6.0,46.0,0.1
231,0.5,1.0,0.0,296.3254339778036,15.0,153.0,0.1
232,0.5,1.0,0.0,101.61121671950262,6.0,54.0,0.1
233,0.5,1.0,0.0,594.9526728960235,52.0,313.0,0.1
234,0.5,1.0,0.0,413.1670729059937,24.0,207.0,0.1
235,0.5,1.0,0.0,55.15979853473917,8.0,25.0,0.1
236,0.5,1.0,0.0,110.85432749882187,14.0,35.0,0.1
237,0.5,1.0,0.0,491.05819940109774,36.0,262.0,0.1
238,0.5,1.0,0.0,75.47400108942941,3.0,43.0,0.1
239,0.5,1.0,0.0,191.51460845002865,15.0,77.0,0.1
240,0.5,1.0,0.0,44.001636478915216,8.0,15.0,0.1
241,0.5,1.0,0.0,75.75475692281074,6.0,40.0,0.1
242,0.5,1.0,0.0,132.9622486578911,7.0,64.0,0.1
243,0.5,1.0,0.0,189.574402241327,14.0,81.0,0.1
244,0.5,1.0,0.0,61.34226273657632,5.0,25.0,0.1
245,0.5,1.0,0.0,134.70878176335654,8.0,59.0,0.1
246,0.5,1.0,0.0,282.1898403927986,21.0,146.0,0.1
247,0.5,1.0,0.0,179.70344842423268,11.0,90.0,0.1
248,0.5,1.0,0.0,99.2466338078642,9.0,35.0,0.1
249,0.5,1.0,0.0,168.99013825808512,9.0,86.0,0.1
250,0.5,1.0,0.0,75.23397905009881,7.0,31.0,0.1
251,0.5,1.0,0.0,276.4789962130654,23.0,144.0,0.1
252,0.5,1.0,0.0,290.97392778369823,26.0,161.0,0.1
253,0.5,1.0,0.0,97.8826656079826,6.0,35.0,0.1
254,0.5,1.0,0.0,395.1657527329732,37.0,192.0,0.1
255,0.5,1.0,0.0,158.42392237445674,15.0,90.0,0.1
256,0.5,1.0,0.0,40.863887968301576,4.0,20.0,0.1
257,0.5,1.0,0.0,232.36810075869133,15.0,111.0,0.1
258,0.5,1.0,0.0,91.16701927619916,10.0,36.0,0.1
259,0.5,1.0,0.0,91.2171942975644,4.0,48.0,0.1
260,0.5,1.0,0.0,141.16584163083527,12.0,69.0,0.1
261,0.5,1.0,0.0,37.019043868667616,3.0,22.0,0.1
262,0.5,1.0,0.0,127.97014682925509,9.0,61.0,0.1
263,0.5,1.0,0.0,40.36928166859936,5.0,18.0,0.1
264,0.5,1.0,0.0,91.3764806418218,7.0,44.0,0.1
265,0.5,1.0,0.0,44.24305791794463,6.0,14.0,0.1
266,0.5,1.0,0.0,297.4282634728042,16.0,150.0,0.1
267,0.5,1.0,0.0,129.8516812162176,8.0,76.0,0.1
268,0.5,1.0,0.0,92.21841255702488,10.0,44.0,0.1
269,0.5,1.0,0.0,101.4087422445428,8.0,57.0,0.1
270,0.5,1.0,0.0,13.846317469055451,2.0,3.0,0.1
271,0.5,1.0,0.0,53.47297937976644,6.0,27.0,0.1
272,0.5,1.0,0.0,30.31273849247744,4.0,9.0,0.1
273,0.5,1.0,0.0,201.8320991774342,16.0,90.0,0.1
274,0.5,1.0,0.0,158.07643530174468,16.0,67.0,0.1
275,0.5,1.0,0.0,19.68036835433722,2.0,10.0,0.1
276,0.5,1.0,0.0,192.9735283744116,13.0,99.0,0.1
277,0.5,1.0,0.0,177.27125367066645,10.0,99.0,0.1
278,0.5,1.0,0.0,57.02523220125767,4.0,28.0,0.1
279,0.5,1.0,0.0,116.7934549097622,11.0,58.0,0.1
280,0.5,1.0,0.0,126.98639784941128,10.0,69.0,0.1
281,0.5,1.0,0.0,158.6149162277404,16.0,79.0,0.1
282,0.5,1.0,0.0,146.36462744732455,11.0,75.0,0.1
283,0.5,1.0,0.0,91.35331938425196,9.0,42.0,0.1
284,0.5,1.0,0.0,392.3683185693214,33.0,201.0,0.1
285,0.5,1.0,0.0,118.98960219548972,8.0,50.0,0.1
286,0.5,1.0,0.0,214.51823216443535,18.0,121.0,0.1
287,0.5,1.0,0.0,23.02725004896585,3.0,5.0,0.1
288,0.5,1.0,0.0,355.0998723693272,28.0,190.0,0.1
289,0.5,1.0,0.0,297.1086827588064,25.0,158.0,0.1
