,initial state,transition rate,measurement rate,simulation time,total measurements,total jumps,finded
0,0.0,0.1,0.5,596.8070492272482,292.0,41.0,1.0
1,0.0,0.1,0.5,328.94303729798503,173.0,26.0,1.0
2,0.0,0.1,0.5,123.94199061572901,61.0,14.0,1.0
3,0.0,0.1,0.5,14.57102253715927,2.0,1.0,1.0
4,0.0,0.1,0.5,335.3954637467825,172.0,27.0,1.0
5,0.0,0.1,0.5,160.4352881721865,83.0,14.0,1.0
6,0.0,0.1,0.5,170.22371526128276,79.0,11.0,1.0
7,0.0,0.1,0.5,52.492952908030766,22.0,6.0,1.0
8,0.0,0.1,0.5,592.8905065873258,319.0,42.0,1.0
9,0.0,0.1,0.5,507.69223963515896,246.0,43.0,1.0
10,0.0,0.1,0.5,60.42655806898875,29.0,6.0,1.0
11,0.0,0.1,0.5,37.70501021226664,17.0,4.0,1.0
12,0.0,0.1,0.5,127.3084053632575,69.0,12.0,1.0
13,0.0,0.1,0.5,23.98423502831243,7.0,3.0,1.0
14,0.0,0.1,0.5,138.95258068103453,90.0,6.0,1.0
15,0.0,0.1,0.5,336.5764598738359,153.0,25.0,1.0
16,0.0,0.1,0.5,47.93144110490989,29.0,4.0,1.0
17,0.0,0.1,0.5,114.38866913907134,60.0,7.0,1.0
18,0.0,0.1,0.5,152.0327029594259,61.0,10.0,1.0
19,0.0,0.1,0.5,636.0219497237002,309.0,54.0,1.0
20,0.0,0.1,0.5,150.4870277151527,77.0,10.0,1.0
21,0.0,0.1,0.5,49.45395874855741,35.0,4.0,1.0
22,0.0,0.1,0.5,251.20261703975177,125.0,17.0,1.0
23,0.0,0.1,0.5,61.87651208128366,31.0,4.0,1.0
24,0.0,0.1,0.5,121.48608877859529,61.0,10.0,1.0
25,0.0,0.1,0.5,92.34376958846435,44.0,6.0,1.0
26,0.0,0.1,0.5,135.04455693104663,61.0,8.0,1.0
27,0.0,0.1,0.5,89.72216579459108,36.0,7.0,1.0
28,0.0,0.1,0.5,152.22289844222604,83.0,11.0,1.0
29,0.0,0.1,0.5,616.7420815621464,305.0,42.0,1.0
30,0.0,0.1,0.5,86.4814211569941,40.0,4.0,1.0
31,0.0,0.1,0.5,96.55831252582398,53.0,9.0,1.0
32,0.0,0.1,0.5,98.29444557194384,40.0,5.0,1.0
33,0.0,0.1,0.5,222.21500427904172,104.0,13.0,1.0
34,0.0,0.1,0.5,282.2414943547468,145.0,26.0,1.0
35,0.0,0.1,0.5,42.78689528464018,25.0,4.0,1.0
36,0.0,0.1,0.5,403.71894642178125,202.0,26.0,1.0
37,0.0,0.1,0.5,216.05538539344437,121.0,18.0,1.0
38,0.0,0.1,0.5,646.2782757329765,318.0,51.0,1.0
39,0.0,0.1,0.5,176.79477117732134,92.0,12.0,1.0
40,0.0,0.1,0.5,101.28290084123364,39.0,11.0,1.0
41,0.0,0.1,0.5,332.8203046185796,159.0,23.0,1.0
42,0.0,0.1,0.5,88.10876335807627,58.0,9.0,1.0
43,0.0,0.1,0.5,157.20736039012874,77.0,7.0,1.0
44,0.0,0.1,0.5,319.2366425929966,189.0,20.0,1.0
45,0.0,0.1,0.5,69.72336822294739,42.0,4.0,1.0
46,0.0,0.1,0.5,150.77399940701105,72.0,9.0,1.0
47,0.0,0.1,0.5,254.92402926287588,126.0,17.0,1.0
48,0.0,0.1,0.5,57.4400352803904,32.0,4.0,1.0
49,0.0,0.1,0.5,306.65119321364546,163.0,19.0,1.0
50,0.0,0.1,0.5,281.13177788431005,135.0,17.0,1.0
51,0.0,0.1,0.5,75.44594896017179,38.0,8.0,1.0
52,0.0,0.1,0.5,69.38052264583362,39.0,5.0,1.0
53,0.0,0.1,0.5,152.0849715644972,94.0,7.0,1.0
54,0.0,0.1,0.5,543.5900985224976,275.0,35.0,1.0
55,0.0,0.1,0.5,135.9240902992953,71.0,8.0,1.0
56,0.0,0.1,0.5,124.4141613384046,57.0,7.0,1.0
57,0.0,0.1,0.5,128.81565305080903,69.0,6.0,1.0
58,0.0,0.1,0.5,41.78083325418633,19.0,6.0,1.0
59,0.0,0.1,0.5,64.42683972781087,20.0,5.0,1.0
60,0.0,0.1,0.5,324.801996968256,169.0,25.0,1.0
61,0.0,0.1,0.5,43.039638656934265,28.0,5.0,1.0
62,0.0,0.1,0.5,406.14493313919616,198.0,22.0,1.0
63,0.0,0.1,0.5,250.66912818195775,135.0,13.0,1.0
64,0.0,0.1,0.5,152.31566288885008,77.0,13.0,1.0
65,0.0,0.1,0.5,322.76015040002784,152.0,22.0,1.0
66,0.0,0.1,0.5,816.8192479092818,410.0,64.0,1.0
67,0.0,0.1,0.5,77.01474357723067,38.0,8.0,1.0
68,0.0,0.1,0.5,81.87067164454346,31.0,6.0,1.0
69,0.0,0.1,0.5,46.68839694637891,17.0,3.0,1.0
70,0.0,0.1,0.5,85.09082951646512,35.0,9.0,1.0
71,0.0,0.1,0.5,212.8824234541687,108.0,20.0,1.0
72,0.0,0.1,0.5,274.25033525198506,130.0,18.0,1.0
73,0.0,0.1,0.5,129.20532350920504,56.0,9.0,1.0
74,0.0,0.1,0.5,833.1149408003395,417.0,62.0,1.0
75,0.0,0.1,0.5,156.76498381124478,82.0,13.0,1.0
76,0.0,0.1,0.5,189.13873407370522,93.0,20.0,1.0
77,0.0,0.1,0.5,67.25494975142965,33.0,7.0,1.0
78,0.0,0.1,0.5,106.72719119646128,64.0,11.0,1.0
79,0.0,0.1,0.5,150.6829084093579,76.0,13.0,1.0
80,0.0,0.1,0.5,17.534866745950346,7.0,2.0,1.0
81,0.0,0.1,0.5,73.95336998860992,31.0,5.0,1.0
82,0.0,0.1,0.5,211.25409708964048,77.0,23.0,1.0
83,0.0,0.1,0.5,33.57430624634886,14.0,4.0,1.0
84,0.0,0.1,0.5,188.41162345904618,95.0,15.0,1.0
85,0.0,0.1,0.5,209.94823968992657,109.0,12.0,1.0
86,0.0,0.1,0.5,201.89828808649625,93.0,15.0,1.0
87,0.0,0.1,0.5,348.43025513174,160.0,26.0,1.0
88,0.0,0.1,0.5,787.427504454518,409.0,62.0,1.0
89,0.0,0.1,0.5,100.3548044433533,42.0,7.0,1.0
90,0.0,0.1,0.5,103.14587008557871,43.0,8.0,1.0
91,0.0,0.1,0.5,120.13180001366705,66.0,8.0,1.0
92,0.0,0.1,0.5,213.29812173310685,109.0,13.0,1.0
93,0.0,0.1,0.5,255.06754687489985,129.0,18.0,1.0
94,0.0,0.1,0.5,235.73556622053982,122.0,16.0,1.0
95,0.0,0.1,0.5,100.87286928630218,50.0,10.0,1.0
96,0.0,0.1,0.5,157.6934062291662,57.0,12.0,1.0
97,0.0,0.1,0.5,53.419451894959145,28.0,5.0,1.0
98,0.0,0.1,0.5,39.24006619309137,18.0,4.0,1.0
99,0.0,0.1,0.5,230.78994974907786,112.0,20.0,1.0
