,initial state,transition rate,measurement rate,simulation time,total measurements,total jumps,finded
0,0.0,0.1,0.5,156.71967297750928,69.0,2.0,1.0
1,0.0,0.1,0.5,33.78329572709751,20.0,2.0,1.0
2,0.0,0.1,0.5,239.9715480782878,107.0,2.0,1.0
3,0.0,0.1,0.5,109.13041359718436,57.0,2.0,1.0
4,0.0,0.1,0.5,59.842966559541,29.0,2.0,1.0
5,0.0,0.1,0.5,69.65271010051609,46.0,2.0,1.0
6,0.0,0.1,0.5,14.281424715430962,5.0,2.0,1.0
7,0.0,0.1,0.5,66.54657705829953,37.0,2.0,1.0
8,0.0,0.1,0.5,243.92126900141034,85.0,2.0,1.0
9,0.0,0.1,0.5,369.72717878485236,181.0,2.0,1.0
10,0.0,0.1,0.5,80.73330069950667,40.0,2.0,1.0
11,0.0,0.1,0.5,286.40422281706816,147.0,2.0,1.0
12,0.0,0.1,0.5,24.844489912346216,11.0,2.0,1.0
13,0.0,0.1,0.5,208.10870963076061,99.0,2.0,1.0
14,0.0,0.1,0.5,79.19593397327786,43.0,2.0,1.0
15,0.0,0.1,0.5,48.54716027178713,23.0,2.0,1.0
16,0.0,0.1,0.5,249.5863626390579,112.0,2.0,1.0
17,0.0,0.1,0.5,11.725587451587522,4.0,2.0,1.0
18,0.0,0.1,0.5,46.96795259588059,28.0,2.0,1.0
19,0.0,0.1,0.5,30.29186316128331,8.0,2.0,1.0
20,0.0,0.1,0.5,65.58002741928516,31.0,2.0,1.0
21,0.0,0.1,0.5,181.8982076460016,100.0,2.0,1.0
22,0.0,0.1,0.5,608.9030417965342,314.0,2.0,1.0
23,0.0,0.1,0.5,25.240282074587874,11.0,2.0,1.0
24,0.0,0.1,0.5,16.012114959995515,7.0,2.0,1.0
25,0.0,0.1,0.5,72.13231321006282,31.0,2.0,1.0
26,0.0,0.1,0.5,112.69812349128503,46.0,2.0,1.0
27,0.0,0.1,0.5,75.31020151191012,34.0,2.0,1.0
28,0.0,0.1,0.5,16.558848219129004,9.0,2.0,1.0
29,0.0,0.1,0.5,57.2869644677649,22.0,2.0,1.0
30,0.0,0.1,0.5,22.187333736832418,15.0,2.0,1.0
31,0.0,0.1,0.5,13.133472066378708,3.0,2.0,1.0
32,0.0,0.1,0.5,50.337013925205326,30.0,2.0,1.0
33,0.0,0.1,0.5,110.48344101627825,47.0,2.0,1.0
34,0.0,0.1,0.5,46.964632433099894,19.0,2.0,1.0
35,0.0,0.1,0.5,22.237944108120377,9.0,2.0,1.0
36,0.0,0.1,0.5,71.76712785474209,37.0,2.0,1.0
37,0.0,0.1,0.5,281.947541204537,143.0,2.0,1.0
38,0.0,0.1,0.5,160.66715091606818,88.0,2.0,1.0
39,0.0,0.1,0.5,60.71590665156726,29.0,2.0,1.0
40,0.0,0.1,0.5,15.818889778586648,5.0,2.0,1.0
41,0.0,0.1,0.5,160.84860196447235,79.0,2.0,1.0
42,0.0,0.1,0.5,542.9598379802152,295.0,2.0,1.0
43,0.0,0.1,0.5,74.42367371538732,24.0,2.0,1.0
44,0.0,0.1,0.5,21.932649837911665,11.0,2.0,1.0
45,0.0,0.1,0.5,161.25601184354883,74.0,2.0,1.0
46,0.0,0.1,0.5,292.0283824843619,153.0,2.0,1.0
47,0.0,0.1,0.5,202.19946979005823,80.0,2.0,1.0
48,0.0,0.1,0.5,28.31113282234488,12.0,2.0,1.0
49,0.0,0.1,0.5,143.92197530402981,82.0,2.0,1.0
50,0.0,0.1,0.5,236.70074420268216,107.0,2.0,1.0
51,0.0,0.1,0.5,72.28819505445318,39.0,2.0,1.0
52,0.0,0.1,0.5,484.04368176514083,242.0,2.0,1.0
53,0.0,0.1,0.5,21.035946709653246,8.0,2.0,1.0
54,0.0,0.1,0.5,23.762487423526963,13.0,2.0,1.0
55,0.0,0.1,0.5,321.0759974225978,179.0,2.0,1.0
56,0.0,0.1,0.5,75.85098097927623,39.0,2.0,1.0
57,0.0,0.1,0.5,20.02279104851906,13.0,2.0,1.0
58,0.0,0.1,0.5,160.4321723232962,90.0,2.0,1.0
59,0.0,0.1,0.5,35.22644216371251,9.0,2.0,1.0
60,0.0,0.1,0.5,255.617624048367,103.0,2.0,1.0
61,0.0,0.1,0.5,101.73526878637385,39.0,2.0,1.0
62,0.0,0.1,0.5,138.16382343276095,78.0,2.0,1.0
63,0.0,0.1,0.5,66.72511255631764,34.0,2.0,1.0
64,0.0,0.1,0.5,19.186944170525507,9.0,2.0,1.0
65,0.0,0.1,0.5,75.07787605329531,43.0,2.0,1.0
66,0.0,0.1,0.5,33.28217772162054,17.0,2.0,1.0
67,0.0,0.1,0.5,39.49517907552436,18.0,2.0,1.0
68,0.0,0.1,0.5,32.611923215933466,23.0,2.0,1.0
69,0.0,0.1,0.5,22.71415804518735,13.0,2.0,1.0
70,0.0,0.1,0.5,95.75921196508682,53.0,2.0,1.0
71,0.0,0.1,0.5,16.25077621166319,6.0,2.0,1.0
72,0.0,0.1,0.5,14.093312354829143,11.0,2.0,1.0
73,0.0,0.1,0.5,65.7976467135135,27.0,2.0,1.0
74,0.0,0.1,0.5,153.4888782026641,81.0,2.0,1.0
75,0.0,0.1,0.5,462.78271167089383,248.0,2.0,1.0
76,0.0,0.1,0.5,81.68025169607738,35.0,2.0,1.0
77,0.0,0.1,0.5,340.0397735615894,177.0,2.0,1.0
78,0.0,0.1,0.5,34.07858993514685,13.0,2.0,1.0
79,0.0,0.1,0.5,64.43007121703734,22.0,2.0,1.0
80,0.0,0.1,0.5,19.54552629616299,7.0,2.0,1.0
81,0.0,0.1,0.5,56.01962234310542,25.0,2.0,1.0
82,0.0,0.1,0.5,74.94106546008935,33.0,2.0,1.0
83,0.0,0.1,0.5,23.67090150113651,6.0,2.0,1.0
84,0.0,0.1,0.5,28.044141568640043,16.0,2.0,1.0
85,0.0,0.1,0.5,65.03957538026543,35.0,2.0,1.0
86,0.0,0.1,0.5,62.260474648931826,28.0,2.0,1.0
87,0.0,0.1,0.5,230.69578175815434,117.0,2.0,1.0
88,0.0,0.1,0.5,17.758051663312838,8.0,2.0,1.0
89,0.0,0.1,0.5,66.93575052879314,33.0,2.0,1.0
90,0.0,0.1,0.5,111.22384831083404,53.0,2.0,1.0
91,0.0,0.1,0.5,187.784952411504,98.0,2.0,1.0
92,0.0,0.1,0.5,113.55130194120635,53.0,2.0,1.0
93,0.0,0.1,0.5,216.33737053468488,106.0,2.0,1.0
94,0.0,0.1,0.5,70.01060484451044,35.0,2.0,1.0
95,0.0,0.1,0.5,18.184799039591503,11.0,2.0,1.0
96,0.0,0.1,0.5,234.94123433463548,123.0,2.0,1.0
97,0.0,0.1,0.5,158.93513161846155,82.0,2.0,1.0
98,0.0,0.1,0.5,333.05699120469484,158.0,2.0,1.0
99,0.0,0.1,0.5,43.9825418552561,20.0,2.0,1.0
100,0.0,0.1,0.5,50.7355134929241,21.0,2.0,1.0
101,0.0,0.1,0.5,649.3473808951977,344.0,2.0,1.0
102,0.0,0.1,0.5,488.2406011861375,253.0,2.0,1.0
103,0.0,0.1,0.5,144.0448454941046,65.0,2.0,1.0
104,0.0,0.1,0.5,43.31094676110089,12.0,2.0,1.0
105,0.0,0.1,0.5,197.5062400951533,102.0,2.0,1.0
106,0.0,0.1,0.5,83.76028093795269,30.0,2.0,1.0
107,0.0,0.1,0.5,80.17593793125302,42.0,2.0,1.0
108,0.0,0.1,0.5,23.045778655007734,11.0,2.0,1.0
109,0.0,0.1,0.5,185.37100968308178,85.0,2.0,1.0
110,0.0,0.1,0.5,35.868188011861186,14.0,2.0,1.0
111,0.0,0.1,0.5,408.7617209668041,194.0,2.0,1.0
112,0.0,0.1,0.5,110.69455272145784,50.0,2.0,1.0
113,0.0,0.1,0.5,160.60962033430513,80.0,2.0,1.0
114,0.0,0.1,0.5,14.995577488754542,4.0,2.0,1.0
115,0.0,0.1,0.5,230.91508959431678,123.0,2.0,1.0
116,0.0,0.1,0.5,124.32583054316653,71.0,2.0,1.0
117,0.0,0.1,0.5,110.04759825948108,51.0,2.0,1.0
118,0.0,0.1,0.5,124.40850180081492,59.0,2.0,1.0
119,0.0,0.1,0.5,31.76485054315058,16.0,2.0,1.0
120,0.0,0.1,0.5,34.136041945300036,21.0,2.0,1.0
121,0.0,0.1,0.5,70.06046810837842,35.0,2.0,1.0
122,0.0,0.1,0.5,60.61485004498203,28.0,2.0,1.0
123,0.0,0.1,0.5,105.21038573617082,57.0,2.0,1.0
124,0.0,0.1,0.5,63.30968910597464,30.0,2.0,1.0
125,0.0,0.1,0.5,144.8002239105606,94.0,2.0,1.0
126,0.0,0.1,0.5,82.44628630622535,54.0,2.0,1.0
127,0.0,0.1,0.5,48.30396068653542,26.0,2.0,1.0
128,0.0,0.1,0.5,68.42021962408087,31.0,2.0,1.0
129,0.0,0.1,0.5,238.04271773208106,112.0,2.0,1.0
130,0.0,0.1,0.5,67.24411860405563,23.0,2.0,1.0
131,0.0,0.1,0.5,42.81539053612679,19.0,2.0,1.0
132,0.0,0.1,0.5,720.802584597884,359.0,2.0,1.0
133,0.0,0.1,0.5,24.394469340083283,6.0,2.0,1.0
134,0.0,0.1,0.5,406.450157550161,188.0,2.0,1.0
135,0.0,0.1,0.5,116.32687063911007,65.0,2.0,1.0
136,0.0,0.1,0.5,74.85984546769501,36.0,2.0,1.0
137,0.0,0.1,0.5,205.71587017946928,111.0,2.0,1.0
138,0.0,0.1,0.5,39.633188512283404,24.0,2.0,1.0
139,0.0,0.1,0.5,159.43056325064916,96.0,2.0,1.0
140,0.0,0.1,0.5,57.36546444272519,25.0,2.0,1.0
141,0.0,0.1,0.5,17.934792233474393,11.0,2.0,1.0
142,0.0,0.1,0.5,66.70303949080117,35.0,2.0,1.0
143,0.0,0.1,0.5,83.31210860394806,37.0,2.0,1.0
144,0.0,0.1,0.5,22.91103280487797,15.0,2.0,1.0
145,0.0,0.1,0.5,288.67032129972256,145.0,2.0,1.0
