,initial state,transition rate,measurement rate,simulation time,total measurements,total jumps,finded
0,0.0,0.1,0.5,31.79041945174587,15.0,3.0,1.0
1,0.0,0.1,0.5,184.67872307959223,102.0,9.0,1.0
2,0.0,0.1,0.5,147.30591201680687,71.0,13.0,1.0
3,0.0,0.1,0.5,288.20266214610615,151.0,19.0,1.0
4,0.0,0.1,0.5,96.98325644522369,44.0,8.0,1.0
5,0.0,0.1,0.5,436.3827407206608,207.0,31.0,1.0
6,0.0,0.1,0.5,62.96325234285812,35.0,6.0,1.0
7,0.0,0.1,0.5,148.02884628464122,68.0,11.0,1.0
8,0.0,0.1,0.5,207.98489639586708,104.0,13.0,1.0
9,0.0,0.1,0.5,27.158766088280963,15.0,4.0,1.0
10,0.0,0.1,0.5,342.87503717213116,184.0,29.0,1.0
11,0.0,0.1,0.5,31.95170260345076,14.0,5.0,1.0
12,0.0,0.1,0.5,114.97842371037528,55.0,8.0,1.0
13,0.0,0.1,0.5,109.3994677627207,40.0,8.0,1.0
14,0.0,0.1,0.5,65.0603765737444,24.0,7.0,1.0
15,0.0,0.1,0.5,68.0738313339933,30.0,2.0,1.0
16,0.0,0.1,0.5,213.71591644410506,106.0,16.0,1.0
17,0.0,0.1,0.5,330.7668222813688,182.0,26.0,1.0
18,0.0,0.1,0.5,389.227635689115,186.0,32.0,1.0
19,0.0,0.1,0.5,141.91622851235053,79.0,14.0,1.0
20,0.0,0.1,0.5,199.10962900747427,94.0,18.0,1.0
21,0.0,0.1,0.5,125.18518951998455,49.0,9.0,1.0
22,0.0,0.1,0.5,124.01041647457453,55.0,9.0,1.0
23,0.0,0.1,0.5,70.19571773677444,35.0,10.0,1.0
24,0.0,0.1,0.5,42.346704265825366,15.0,3.0,1.0
25,0.0,0.1,0.5,254.15632749633576,135.0,21.0,1.0
26,0.0,0.1,0.5,145.88858808421475,73.0,15.0,1.0
27,0.0,0.1,0.5,274.13667010495544,150.0,25.0,1.0
28,0.0,0.1,0.5,426.27888269627573,221.0,35.0,1.0
29,0.0,0.1,0.5,125.8675373443867,73.0,13.0,1.0
30,0.0,0.1,0.5,48.86131535951782,26.0,5.0,1.0
31,0.0,0.1,0.5,130.9097130658802,52.0,7.0,1.0
32,0.0,0.1,0.5,107.32634333745864,52.0,6.0,1.0
33,0.0,0.1,0.5,244.77964355303033,132.0,21.0,1.0
34,0.0,0.1,0.5,407.5670368356967,203.0,25.0,1.0
35,0.0,0.1,0.5,298.832846646697,166.0,18.0,1.0
36,0.0,0.1,0.5,43.39554125407555,22.0,4.0,1.0
